"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2015","EQ","2,415.75","2,448.50","2,407.50","2,418.30","2,430.00","2,436.85","2,428.90","2,812.10","2,315.25","6,20,159","1,50,63,02,587.20","42,600"
"30-Dec-2015","EQ","2,453.05","2,459.00","2,412.30","2,455.80","2,421.70","2,418.30","2,442.06","2,812.10","2,315.25","8,02,881","1,96,06,81,996.90","49,464"
"29-Dec-2015","EQ","2,458.35","2,465.30","2,445.75","2,462.70","2,449.35","2,455.80","2,452.26","2,812.10","2,315.25","8,54,262","2,09,48,75,086.50","26,975"
"28-Dec-2015","EQ","2,428.00","2,466.40","2,420.20","2,434.25","2,456.95","2,462.70","2,455.00","2,812.10","2,315.25","18,52,099","4,54,68,95,664.00","43,390"
"24-Dec-2015","EQ","2,421.00","2,438.20","2,404.00","2,425.80","2,435.00","2,434.25","2,424.03","2,812.10","2,315.25","4,21,580","1,02,19,24,014.25","21,932"
"23-Dec-2015","EQ","2,415.00","2,435.00","2,410.55","2,405.05","2,418.80","2,425.80","2,425.06","2,812.10","2,315.25","4,24,917","1,03,04,49,350.60","31,057"
"22-Dec-2015","EQ","2,440.00","2,440.00","2,400.00","2,446.40","2,407.00","2,405.05","2,413.33","2,812.10","2,315.25","7,80,429","1,88,34,30,362.60","30,995"
"21-Dec-2015","EQ","2,419.95","2,450.00","2,406.85","2,416.80","2,443.00","2,446.40","2,428.40","2,812.10","2,315.25","8,05,052","1,95,49,88,970.35","41,004"
"18-Dec-2015","EQ","2,420.00","2,434.20","2,400.65","2,439.75","2,409.80","2,416.80","2,416.02","2,812.10","2,315.25","15,12,485","3,65,41,97,886.25","47,644"
"17-Dec-2015","EQ","2,415.00","2,445.00","2,393.35","2,408.40","2,434.10","2,439.75","2,418.57","2,812.10","2,315.25","8,09,422","1,95,76,47,078.25","46,818"
"16-Dec-2015","EQ","2,384.00","2,414.50","2,384.00","2,375.85","2,407.50","2,408.40","2,402.07","2,812.10","2,315.25","7,17,967","1,72,46,09,355.80","48,074"
"15-Dec-2015","EQ","2,378.45","2,385.00","2,363.05","2,378.45","2,379.50","2,375.85","2,375.03","2,812.10","2,315.25","5,67,934","1,34,88,59,151.30","52,585"
"14-Dec-2015","EQ","2,335.20","2,387.00","2,330.60","2,386.00","2,375.00","2,378.45","2,364.84","2,812.10","2,315.25","13,59,266","3,21,44,43,353.75","58,637"
"11-Dec-2015","EQ","2,383.00","2,391.95","2,363.25","2,384.55","2,383.15","2,386.00","2,384.13","2,812.10","2,315.25","8,26,189","1,96,97,45,818.20","53,651"
"10-Dec-2015","EQ","2,369.00","2,391.20","2,352.00","2,367.65","2,380.95","2,384.55","2,374.82","2,812.10","2,315.25","8,61,994","2,04,70,84,266.50","52,429"
"09-Dec-2015","EQ","2,337.90","2,372.80","2,320.00","2,329.00","2,370.00","2,367.65","2,361.23","2,812.10","2,315.25","26,41,403","6,23,69,53,830.25","59,592"
"08-Dec-2015","EQ","2,319.40","2,349.00","2,317.30","2,319.80","2,326.25","2,329.00","2,332.95","2,812.10","2,315.25","5,69,982","1,32,97,39,195.55","47,957"
"07-Dec-2015","EQ","2,332.20","2,343.90","2,315.25","2,328.40","2,321.00","2,319.80","2,322.27","2,812.10","2,315.25","6,91,302","1,60,53,90,412.10","52,150"
"04-Dec-2015","EQ","2,340.00","2,347.30","2,321.10","2,350.75","2,330.00","2,328.40","2,330.08","2,812.10","2,321.10","6,23,046","1,45,17,47,348.45","32,999"
"03-Dec-2015","EQ","2,360.00","2,373.00","2,347.00","2,365.20","2,350.00","2,350.75","2,356.59","2,812.10","2,332.50","11,41,679","2,69,04,67,598.75","41,715"
"02-Dec-2015","EQ","2,378.00","2,378.10","2,346.50","2,361.90","2,367.00","2,365.20","2,362.86","2,812.10","2,332.50","8,20,148","1,93,78,96,039.75","38,694"
"01-Dec-2015","EQ","2,362.90","2,378.05","2,357.05","2,364.70","2,359.75","2,361.90","2,363.85","2,812.10","2,332.50","8,60,997","2,03,52,67,110.00","51,511"
"30-Nov-2015","EQ","2,365.00","2,391.25","2,350.15","2,353.35","2,373.55","2,364.70","2,365.21","2,812.10","2,332.50","20,50,024","4,84,87,44,782.20","85,439"
"27-Nov-2015","EQ","2,348.00","2,359.45","2,332.50","2,345.55","2,354.95","2,353.35","2,348.70","2,812.10","2,332.50","8,68,603","2,04,00,86,163.75","62,719"
"26-Nov-2015","EQ","2,377.90","2,382.40","2,337.85","2,367.95","2,346.00","2,345.55","2,355.52","2,812.10","2,337.85","14,57,646","3,43,35,08,896.10","77,452"
"24-Nov-2015","EQ","2,380.05","2,392.45","2,365.50","2,391.05","2,366.00","2,367.95","2,378.62","2,812.10","2,345.00","4,99,320","1,18,76,94,596.10","35,776"
"23-Nov-2015","EQ","2,405.30","2,413.40","2,382.25","2,398.35","2,389.30","2,391.05","2,397.62","2,812.10","2,345.00","5,44,041","1,30,44,05,391.85","42,359"
"20-Nov-2015","EQ","2,366.50","2,423.55","2,361.95","2,362.55","2,394.50","2,398.35","2,403.22","2,812.10","2,345.00","10,06,063","2,41,77,90,418.40","60,130"
"19-Nov-2015","EQ","2,365.35","2,381.60","2,352.00","2,351.45","2,367.00","2,362.55","2,366.14","2,812.10","2,345.00","9,33,453","2,20,86,80,749.55","55,764"
