Source.Name,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2004.csv,2004-12-31,EQ,1300,1338.8,1296.65,1296.65,1337,1335.45,1322.87,"1,336.90",958.55,612414,810146857.4,-
2004.csv,2004-12-30,EQ,1318,1328,1291.85,1320.25,1297.3,1296.65,1306.77,"1,336.90",958.55,703349,919117752.5,-
2004.csv,2004-12-29,EQ,1316.95,1336.9,1313.15,1309.35,1318.65,1320.25,1324.24,"1,314.00",958.55,829153,1098000702,-
2004.csv,2004-12-28,EQ,1272,1314,1266.2,1270.55,1312.05,1309.35,1297.48,"1,286.00",958.55,1201806,1559322244,-
2004.csv,2004-12-27,EQ,1270,1285,1262.2,1267.95,1268.3,1270.55,1277.19,"1,286.00",958.55,550063,702537491.3,-
2004.csv,2004-12-24,EQ,1232.95,1272,1221.55,1227.85,1270.05,1267.95,1254,"1,286.00",958.55,832732,1044247170,-
2004.csv,2004-12-23,EQ,1247.7,1247.7,1225,1240.15,1228.6,1227.85,1235.08,"1,286.00",958.55,493614,609650406.5,-
2004.csv,2004-12-22,EQ,1275.1,1275.1,1230,1272.7,1242,1240.15,1246.05,"1,286.00",958.55,750214,934801938.4,-
2004.csv,2004-12-21,EQ,1264.95,1277,1263.15,1262.55,1272,1272.7,1270.5,"1,286.00",958.55,432314,549254218.1,-
2004.csv,2004-12-20,EQ,1260,1268.5,1256.5,1256.5,1261,1262.55,1262.44,"1,286.00",958.55,283553,357968198.6,-
2004.csv,2004-12-17,EQ,1260,1274.8,1252.1,1262.65,1257.1,1256.5,1263.88,"1,286.00",958.55,688719,870460631.6,-
2004.csv,2004-12-16,EQ,1248.45,1265,1238,1245.5,1262.5,1262.65,1252.68,"1,286.00",958.55,543808,681217624.7,-
2004.csv,2004-12-15,EQ,1244,1254.75,1238,1233.15,1246.5,1245.5,1247.49,"1,286.00",958.55,721584,900166589.7,-
2004.csv,2004-12-14,EQ,1242,1244.7,1230.3,1236.15,1234,1233.15,1236.8,"1,286.00",958.55,385438,476708476.8,-
2004.csv,2004-12-13,EQ,1226,1241.65,1225.25,1225.65,1238,1236.15,1234.6,"1,286.00",958.55,624529,771042017.6,-
