"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2012","EQ","1,261.00","1,265.60","1,252.00","1,267.50","1,253.75","1,255.85","1,257.20","1,439.80","1,045.30","3,52,085","44,26,39,903.30","13,517"
"28-Dec-2012","EQ","1,254.00","1,272.00","1,250.75","1,250.95","1,269.00","1,267.50","1,261.76","1,439.80","1,045.30","7,50,811","94,73,42,556.85","28,226"
"27-Dec-2012","EQ","1,264.90","1,264.90","1,247.65","1,262.20","1,250.10","1,250.95","1,253.15","1,439.80","1,045.30","9,97,079","1,24,94,87,744.60","22,875"
"26-Dec-2012","EQ","1,267.00","1,269.15","1,255.30","1,266.20","1,264.80","1,262.20","1,261.61","1,439.80","1,045.30","7,17,629","90,53,66,455.10","30,470"
"24-Dec-2012","EQ","1,262.00","1,271.10","1,260.10","1,258.70","1,263.20","1,266.20","1,266.99","1,439.80","1,045.30","6,27,409","79,49,22,930.60","20,423"
"21-Dec-2012","EQ","1,250.00","1,264.40","1,237.70","1,252.05","1,258.00","1,258.70","1,256.81","1,439.80","1,045.30","12,28,984","1,54,45,98,635.05","45,068"
"20-Dec-2012","EQ","1,227.15","1,255.00","1,227.15","1,232.65","1,251.50","1,252.05","1,244.74","1,439.80","1,045.30","11,57,015","1,44,01,82,652.75","95,877"
"19-Dec-2012","EQ","1,216.10","1,236.55","1,216.10","1,210.65","1,232.55","1,232.65","1,231.54","1,439.80","1,045.30","33,21,030","4,08,99,78,164.65","67,172"
"18-Dec-2012","EQ","1,214.70","1,225.00","1,197.00","1,205.50","1,210.25","1,210.65","1,206.56","1,439.80","1,045.30","23,44,241","2,82,84,69,285.50","88,425"
"17-Dec-2012","EQ","1,239.15","1,248.90","1,202.10","1,242.90","1,205.85","1,205.50","1,214.54","1,439.80","1,045.30","22,41,449","2,72,23,23,180.45","1,23,929"
"14-Dec-2012","EQ","1,217.00","1,245.00","1,216.15","1,222.55","1,239.10","1,242.90","1,237.95","1,439.80","1,045.30","10,98,407","1,35,97,68,587.75","67,398"
"13-Dec-2012","EQ","1,230.10","1,234.60","1,217.10","1,225.80","1,217.85","1,222.55","1,226.62","1,439.80","1,045.30","11,48,581","1,40,88,72,444.45","75,390"
"12-Dec-2012","EQ","1,224.90","1,241.00","1,221.10","1,219.70","1,223.90","1,225.80","1,230.78","1,439.80","1,045.30","12,43,974","1,53,10,59,496.20","46,290"
"11-Dec-2012","EQ","1,235.00","1,243.00","1,210.35","1,237.20","1,218.25","1,219.70","1,228.32","1,439.80","1,045.30","24,63,457","3,02,59,12,614.10","70,374"
"10-Dec-2012","EQ","1,262.10","1,266.80","1,231.20","1,264.15","1,239.00","1,237.20","1,243.64","1,439.80","1,045.30","15,14,715","1,88,37,58,173.30","52,948"
"07-Dec-2012","EQ","1,276.65","1,280.70","1,257.05","1,280.70","1,264.00","1,264.15","1,269.92","1,439.80","1,045.30","9,78,607","1,24,27,55,523.85","51,467"
"06-Dec-2012","EQ","1,295.00","1,295.00","1,269.00","1,297.90","1,279.05","1,280.70","1,275.74","1,439.80","1,045.30","11,85,046","1,51,18,12,630.20","71,738"
"05-Dec-2012","EQ","1,300.00","1,307.55","1,288.60","1,299.45","1,300.00","1,297.90","1,296.39","1,439.80","1,045.30","8,95,029","1,16,03,05,232.35","29,795"
"04-Dec-2012","EQ","1,315.10","1,321.80","1,292.90","1,316.80","1,292.90","1,299.45","1,301.61","1,439.80","1,045.30","7,97,560","1,03,81,11,370.10","38,753"
"03-Dec-2012","EQ","1,315.00","1,322.00","1,305.20","1,314.00","1,317.05","1,316.80","1,313.56","1,439.80","1,045.30","6,59,756","86,66,28,399.20","43,119"
"30-Nov-2012","EQ","1,295.00","1,325.00","1,291.10","1,298.10","1,319.05","1,314.00","1,304.32","1,439.80","1,045.30","17,89,647","2,33,42,73,840.25","52,428"
"29-Nov-2012","EQ","1,310.00","1,312.00","1,292.35","1,295.20","1,299.50","1,298.10","1,299.12","1,439.80","1,045.30","17,35,289","2,25,43,45,640.25","62,397"
"27-Nov-2012","EQ","1,299.90","1,299.90","1,288.30","1,293.70","1,296.50","1,295.20","1,295.76","1,439.80","1,045.30","6,69,080","86,69,63,939.35","71,825"
"26-Nov-2012","EQ","1,288.00","1,295.70","1,285.00","1,288.60","1,294.00","1,293.70","1,291.82","1,439.80","1,045.30","2,28,167","29,47,51,077.10","21,552"
"23-Nov-2012","EQ","1,282.00","1,291.40","1,271.25","1,276.45","1,287.10","1,288.60","1,283.43","1,439.80","1,041.00","3,74,838","48,10,77,108.85","34,484"
"22-Nov-2012","EQ","1,282.10","1,284.10","1,271.00","1,282.20","1,278.70","1,276.45","1,276.65","1,439.80","1,041.00","3,05,812","39,04,15,592.05","26,580"
"21-Nov-2012","EQ","1,276.25","1,294.70","1,276.25","1,272.80","1,279.00","1,282.20","1,284.27","1,439.80","1,041.00","4,70,872","60,47,24,570.10","21,217"
"20-Nov-2012","EQ","1,275.00","1,282.90","1,256.05","1,262.35","1,281.10","1,272.80","1,268.39","1,439.80","1,041.00","6,28,020","79,65,74,738.80","55,714"
"19-Nov-2012","EQ","1,290.10","1,295.00","1,258.50","1,286.80","1,263.30","1,262.35","1,269.03","1,439.80","1,041.00","8,38,143","1,06,36,28,314.65","48,054"
"16-Nov-2012","EQ","1,299.80","1,306.80","1,280.10","1,294.15","1,282.00","1,286.80","1,294.78","1,439.80","1,041.00","7,99,445","1,03,51,02,451.40","48,192"
