Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
8/25/2004,EQ,1198.7,1198.7,979,850,985,987.95,1008.32,,,17116372,17258760957,
8/26/2004,EQ,992,997,975.3,987.95,976.85,979,985.65,1198.7,979,5055400,4982864767,
8/27/2004,EQ,982.4,982.4,958.55,979,961.2,962.65,969.94,1198.7,975.3,3830750,3715586031,
8/30/2004,EQ,969.9,990,965,962.65,986.4,986.75,982.65,1198.7,958.55,3058151,3005106340,
8/31/2004,EQ,986.5,990,976,986.75,987.8,988.1,982.18,1198.7,958.55,2649332,2602132651,
9/1/2004,EQ,990,995,983.6,988.1,986,987.9,989.68,1198.7,958.55,2491943,2466235577,
9/2/2004,EQ,989.9,1004.6,986,987.9,994,993.65,996.96,1198.7,958.55,2669544,2661426196,
9/3/2004,EQ,1006,1100,990.35,993.65,998.7,997.85,996.91,1198.7,958.55,1233732,1229916940,
9/6/2004,EQ,1039.9,1039.9,992.9,997.85,996.8,994.85,998.87,1198.7,958.55,1129834,1128553952,
9/7/2004,EQ,1035,1035,995,994.85,995,995.6,997.34,1198.7,958.55,721529,719610913.6,
9/8/2004,EQ,996,1000.8,991.1,995.6,992.25,993.7,995.29,1198.7,958.55,824248,820361682.5,
9/9/2004,EQ,997,997.9,978.45,993.7,979.65,979.95,985.16,1198.7,958.55,993398,978657426.1,
9/10/2004,EQ,990,990,976,979.95,989.95,988.8,985.12,1198.7,958.55,801884,789950664.3,
9/13/2004,EQ,991,1015.5,991,988.8,1002.75,1003.5,1007.31,1198.7,958.55,2613114,2632220571,
9/14/2004,EQ,1005,1018.8,1002.95,1003.5,1015.95,1015.65,1012.95,1198.7,958.55,1916934,1941763418,
9/15/2004,EQ,1018,1020,1001.2,1015.65,1005,1006.1,1009.12,1198.7,958.55,1498536,1512208352,
9/16/2004,EQ,1007,1015,1002.5,1006.1,1011,1008.45,1009.82,1198.7,958.55,919778,928806251.6,
9/17/2004,EQ,1012,1029.9,1010.3,1008.45,1029.9,1024.5,1021.09,1198.7,958.55,1828487,1867047286,
9/20/2004,EQ,1032.4,1036.9,1020.15,1024.5,1022.5,1022.9,1028.83,1198.7,958.55,1069028,1099843534,
9/21/2004,EQ,1024.85,1048.5,1022,1022.9,1047.4,1045.8,1039.54,1198.7,958.55,1737135,1805822479,
9/22/2004,EQ,1048.4,1056,1037.1,1045.8,1049.9,1052.05,1047.57,1198.7,958.55,1921448,2012857077,
9/23/2004,EQ,1048,1049,1027,1052.05,1028,1030.25,1037.8,1198.7,958.55,1977460,2052199849,
9/24/2004,EQ,1029.1,1040,1026,1030.25,1027.6,1028.8,1033.94,1198.7,958.55,1010401,1044692915,
9/27/2004,EQ,1027.5,1032.5,1015,1028.8,1019,1020.75,1022.44,1198.7,958.55,1028689,1051767929,
9/28/2004,EQ,1016,1027.4,1012.5,1020.75,1016.2,1015.55,1020.82,1198.7,958.55,792427,808924865.1,
9/29/2004,EQ,1019.25,1033,1016.15,1015.55,1031,1031,1024.61,1198.7,958.55,1467147,1503253817,
9/30/2004,EQ,1035.6,1040.9,1020.65,1031,1025.1,1027.1,1032.72,1198.7,958.55,1565179,1616397418,
10/1/2004,EQ,1029,1056.45,1026.35,1027.1,1048.5,1047.7,1043.58,1198.7,958.55,1371111,1430861574,
10/4/2004,EQ,1057,1081,1054.45,1047.7,1079.2,1076.5,1071.89,1198.7,958.55,1891228,2027186074,
10/5/2004,EQ,1080.3,1089,1075.5,1076.5,1077.05,1080.7,1083.44,1198.7,958.55,1792661,1942248091,
10/6/2004,EQ,1081,1102.8,1075.05,1080.7,1082,1081.6,1090.08,1198.7,958.55,2208833,2407813365,
10/7/2004,EQ,1083,1100,1083,1081.6,1099.6,1097.1,1093.19,1198.7,958.55,1260016,1377437282,
10/8/2004,EQ,1098,1111,1095,1097.1,1097.8,1098.05,1103.24,1198.7,958.55,1069865,1180319205,
10/9/2004,EQ,1099.9,1103.85,1094.25,1098.05,1103,1100.65,1099.79,1198.7,958.55,258539,284338312.6,
10/11/2004,EQ,1100,1111.5,1085,1100.65,1089.6,1089.3,1099.02,1198.7,958.55,1166507,1282016130,
10/12/2004,EQ,1110,1115,1077.65,1089.3,1080,1084.45,1093.36,1198.7,958.55,1950064,2132121372,
10/14/2004,EQ,1103,1124,1088.05,1084.45,1117.5,1116.2,1107.77,1198.7,958.55,2403248,2662234310,
10/15/2004,EQ,1121.7,1141,1117.25,1116.2,1127.6,1126,1129.32,1198.7,958.55,2224968,2512693150,
10/18/2004,EQ,1134,1142,1125.25,1126,1134,1137.25,1135.53,1198.7,958.55,1711668,1943642755,
10/19/2004,EQ,1140.15,1148.7,1136.1,1137.25,1143,1143.2,1142.22,1198.7,958.55,1470891,1680074601,
10/20/2004,EQ,1144.8,1149.9,1129,1143.2,1134.2,1133.25,1141.59,1198.7,958.55,900854,1028401837,
